,Location,Device,Time,Day,Speed,Run
1,Nest,iPad,Morning,Wednesday,126.8,2
2,Nest,iPad,Afternoon,Wednesday,145.85,10
3,Nest,iPad,Evening,Wednesday,152.79,26
4,Nest,iPad,Morning,Thursday,199.98,33
5,Nest,iPad,Afternoon,Thursday,136.2,38
6,Nest,iPad,Evening,Thursday,90.12,51
7,Nest,iPad,Morning,Friday,148.81,63
8,Nest,iPad,Afternoon,Friday,57,65
9,Nest,iPad,Evening,Friday,129.15,80
10,Res,iPad,Morning,Wednesday,215.63,6
11,Res,iPad,Afternoon,Wednesday,204.27,18
12,Res,iPad,Evening,Wednesday,213.77,20
13,Res,iPad,Morning,Thursday,187.95,30
14,Res,iPad,Afternoon,Thursday,220.33,44
15,Res,iPad,Evening,Thursday,146.43,47
16,Res,iPad,Morning,Friday,224.38,60
17,Res,iPad,Afternoon,Friday,90.7,69
18,Res,iPad,Evening,Friday,227.22,74
19,Library,iPad,Morning,Wednesday,146.87,9
20,Library,iPad,Afternoon,Wednesday,140.68,15
21,Library,iPad,Evening,Wednesday,132.3,22
22,Library,iPad,Morning,Thursday,213.75,35
23,Library,iPad,Afternoon,Thursday,225.34,42
24,Library,iPad,Evening,Thursday,151.94,52
25,Library,iPad,Morning,Friday,141.36,55
26,Library,iPad,Afternoon,Friday,162.2,71
27,Library,iPad,Evening,Friday,154.01,76
28,Nest,iPhone,Morning,Wednesday,143,1
29,Nest,iPhone,Afternoon,Wednesday,76,11
30,Nest,iPhone,Evening,Wednesday,120,25
31,Nest,iPhone,Morning,Thursday,30,31
32,Nest,iPhone,Afternoon,Thursday,89.9,39
33,Nest,iPhone,Evening,Thursday,41.21,50
34,Nest,iPhone,Morning,Friday,100.1,61
35,Nest,iPhone,Afternoon,Friday,8.77,66
36,Nest,iPhone,Evening,Friday,64.78,81
37,Res,iPhone,Morning,Wednesday,150,5
38,Res,iPhone,Afternoon,Wednesday,145.8,17
39,Res,iPhone,Evening,Wednesday,140,19
40,Res,iPhone,Morning,Thursday,162,28
41,Res,iPhone,Afternoon,Thursday,90,45
42,Res,iPhone,Evening,Thursday,105.99,48
43,Res,iPhone,Morning,Friday,100.09,59
44,Res,iPhone,Afternoon,Friday,78.41,67
45,Res,iPhone,Evening,Friday,274.57,73
46,Library,iPhone,Morning,Wednesday,175,7
47,Library,iPhone,Afternoon,Wednesday,214,13
48,Library,iPhone,Evening,Wednesday,166,24
49,Library,iPhone,Morning,Thursday,196,34
50,Library,iPhone,Afternoon,Thursday,134,41
51,Library,iPhone,Evening,Thursday,26.3,53
52,Library,iPhone,Morning,Friday,58.71,56
53,Library,iPhone,Afternoon,Friday,128.9,70
54,Library,iPhone,Evening,Friday,113.56,78
55,Nest,MacBook,Morning,Wednesday,375.53,3
56,Nest,MacBook,Afternoon,Wednesday,201.19,12
57,Nest,MacBook,Evening,Wednesday,159.72,27
58,Nest,MacBook,Morning,Thursday,252.55,32
59,Nest,MacBook,Afternoon,Thursday,289.19,37
60,Nest,MacBook,Evening,Thursday,73.37,49
61,Nest,MacBook,Morning,Friday,214.51,62
62,Nest,MacBook,Afternoon,Friday,34.09,64
63,Nest,MacBook,Evening,Friday,216.07,79
64,Res,MacBook,Morning,Wednesday,216,4
65,Res,MacBook,Afternoon,Wednesday,194.39,16
66,Res,MacBook,Evening,Wednesday,153.62,21
67,Res,MacBook,Morning,Thursday,169.8,29
68,Res,MacBook,Afternoon,Thursday,228,43
69,Res,MacBook,Evening,Thursday,119.71,46
70,Res,MacBook,Morning,Friday,193.43,58
71,Res,MacBook,Afternoon,Friday,43.5,68
72,Res,MacBook,Evening,Friday,261.25,75
73,Library,MacBook,Morning,Wednesday,226.1,8
74,Library,MacBook,Afternoon,Wednesday,224.66,14
75,Library,MacBook,Evening,Wednesday,248.06,23
76,Library,MacBook,Morning,Thursday,209.2,36
77,Library,MacBook,Afternoon,Thursday,212.8,40
78,Library,MacBook,Evening,Thursday,154.56,54
79,Library,MacBook,Morning,Friday,118.81,57
80,Library,MacBook,Afternoon,Friday,51.21,72
81,Library,MacBook,Evening,Friday,113.49,77
